x,y,LOCAL_DAY,CLIMATE_IDENTIFIER,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,LOCAL_MONTH,SNOW_ON_GROUND,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,ID,HEATING_DEGREE_DAYS,LOCAL_DATE,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,PROVINCE_CODE
-120.8333333,56.25,2,1182998,FORT ST JOHN,,,,0,,5.1,,,5.1,,-12.8,,1910,-14.8,,,3,,,-16.7,,,1182998.1910.3.2,32.8,1910-03-02 0:00,,,,0,,BC
-120.8333333,56.25,3,1182998,FORT ST JOHN,,,,0,,0,,,0,,-13.9,,1910,-20.6,,,3,,,-27.2,,,1182998.1910.3.3,38.6,1910-03-03 0:00,,,,0,,BC
-120.8333333,56.25,4,1182998,FORT ST JOHN,,,,0,,0,,,0,,-14.4,,1910,-19.4,,,3,,,-24.4,,,1182998.1910.3.4,37.4,1910-03-04 0:00,,,,0,,BC
-120.8333333,56.25,5,1182998,FORT ST JOHN,,,,0,,2.5,,,2.5,,-16.7,,1910,-20.6,,,3,,,-24.4,,,1182998.1910.3.5,38.6,1910-03-05 0:00,,,,0,,BC
-120.8333333,56.25,6,1182998,FORT ST JOHN,,,,0,,0,,,0,,-16.1,,1910,-23.1,,,3,,,-30,,,1182998.1910.3.6,41.1,1910-03-06 0:00,,,,0,,BC
-120.8333333,56.25,7,1182998,FORT ST JOHN,,,,0,,0,,,0,,-8.3,,1910,-16.7,,,3,,,-25,,,1182998.1910.3.7,34.7,1910-03-07 0:00,,,,0,,BC
-120.8333333,56.25,8,1182998,FORT ST JOHN,,,,0,,0,,,0,,2.2,,1910,-5.6,,,3,,,-13.3,,,1182998.1910.3.8,23.6,1910-03-08 0:00,,,,0,,BC
-120.8333333,56.25,9,1182998,FORT ST JOHN,,,,0,,0,,,0,,5,,1910,2.5,,,3,,,0,,,1182998.1910.3.9,15.5,1910-03-09 0:00,,,,0,,BC
-120.8333333,56.25,10,1182998,FORT ST JOHN,,,,0,,0,,,0,,7.8,,1910,6.1,,,3,,,4.4,,,1182998.1910.3.10,11.9,1910-03-10 0:00,,,,0,,BC
-120.8333333,56.25,11,1182998,FORT ST JOHN,,,,0,,0,,,0,,10.6,,1910,7.3,,,3,,,3.9,,,1182998.1910.3.11,10.7,1910-03-11 0:00,,,,0,,BC
-120.8333333,56.25,12,1182998,FORT ST JOHN,,,,0,,0,,,0,,8.3,,1910,4.7,,,3,,,1.1,,,1182998.1910.3.12,13.3,1910-03-12 0:00,,,,0,,BC
-120.8333333,56.25,13,1182998,FORT ST JOHN,,,,0,,0,,,0,,9.4,,1910,3.3,,,3,,,-2.8,,,1182998.1910.3.13,14.7,1910-03-13 0:00,,,,0,,BC
-120.8333333,56.25,14,1182998,FORT ST JOHN,,,,0,,0,,,0,,15,,1910,6.1,,,3,,,-2.8,,,1182998.1910.3.14,11.9,1910-03-14 0:00,,,,0,,BC
-120.8333333,56.25,15,1182998,FORT ST JOHN,,,,0,,0,,,0,,16.1,,1910,5.3,,,3,,,-5.6,,,1182998.1910.3.15,12.7,1910-03-15 0:00,,,,0,,BC
-120.8333333,56.25,16,1182998,FORT ST JOHN,,,,0,,0,,,0,,13.9,,1910,3.9,,,3,,,-6.1,,,1182998.1910.3.16,14.1,1910-03-16 0:00,,,,0,,BC
-120.8333333,56.25,17,1182998,FORT ST JOHN,,,,0,,0,,,0,,12.8,,1910,5.9,,,3,,,-1.1,,,1182998.1910.3.17,12.1,1910-03-17 0:00,,,,0,,BC
