x,y,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,ID,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,LOCAL_MONTH
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,21.5,0,0,,18,31,,24,12.1,,51,,1163780,0,,,BC,1978-06-18 00:00:00,,0,1978,1163780.1978.6.18,,16.8,61,,0,,1.2,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,28.4,0,0,,19,24,,19,6.8,,70,,1163780,0,,,BC,1978-06-19 00:00:00,,0,1978,1163780.1978.6.19,,17.6,35,,0,,0.4,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,29,0,1.7,,20,0,,23,10.4,,63,,1163780,0,,,BC,1978-06-20 00:00:00,,0,1978,1163780.1978.6.20,,19.7,0,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,30.1,0,3.6,,21,25,,23,13,,67,,1163780,0,,,BC,1978-06-21 00:00:00,,0,1978,1163780.1978.6.21,,21.6,61,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,20.6,0,0,,22,29,,37,15,,72,,1163780,0.8,,,BC,1978-06-22 00:00:00,,0.8,1978,1163780.1978.6.22,,17.8,31,,0,,0.2,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,27,0,0.8,,23,23,,28,10.6,,87,,1163780,0.6,,,BC,1978-06-23 00:00:00,,0.6,1978,1163780.1978.6.23,,18.8,65,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,26.5,0,1.6,,24,5,,34,12.6,,77,,1163780,0,,,BC,1978-06-24 00:00:00,T,0,1978,1163780.1978.6.24,,19.6,41,,0,,0,T,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,24.9,0,1.5,,25,0,,36,14,,88,,1163780,2.3,,,BC,1978-06-25 00:00:00,,2.3,1978,1163780.1978.6.25,,19.5,0,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,27.9,0,2.5,,26,0,,28,13,,63,,1163780,0,,,BC,1978-06-26 00:00:00,,0,1978,1163780.1978.6.26,,20.5,0,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,31.8,0,5.2,,27,0,,24,14.5,,67,,1163780,0,,,BC,1978-06-27 00:00:00,,0,1978,1163780.1978.6.27,,23.2,0,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,36.7,0,7.6,,28,0,,18,14.4,,68,,1163780,0,,,BC,1978-06-28 00:00:00,,0,1978,1163780.1978.6.28,,25.6,0,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,30.2,0,4.8,,29,12,,27,15.3,,68,,1163780,0,,,BC,1978-06-29 00:00:00,T,0,1978,1163780.1978.6.29,,22.8,46,,0,,0,T,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,20.1,0,0,,30,0,,56,14.5,,88,,1163780,3.6,,,BC,1978-06-30 00:00:00,,3.6,1978,1163780.1978.6.30,,17.3,0,,0,,0.7,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,27.5,0,1.7,,1,22,,30,11.9,,94,,1163780,0,,,BC,1978-07-01 00:00:00,,0,1978,1163780.1978.7.1,,19.7,39,,0,,0,,7
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,27.5,0,2.1,,2,14,,30,12.6,,73,,1163780,0.8,,,BC,1978-07-02 00:00:00,,0.8,1978,1163780.1978.7.2,,20.1,52,,0,,0,,7
