x,y,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,MAX_TEMPERATURE,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,LOCAL_MONTH,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS,DIRECTION_MAX_GUST,MIN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,ID,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,STATION_NAME,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,LOCAL_DATE,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,SNOW_ON_GROUND
-122.8,53.833333333333336,1096436,,20,,0,,,,5,11.7,6.3,,3.3,,31,1096436.1940.5.31,,,0,1940,PRINCE GEORGE,,,0,1940-05-31 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,17.8,,0,,,,6,10.3,7.7,,2.8,,1,1096436.1940.6.1,,,0,1940,PRINCE GEORGE,,,0,1940-06-01 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,22.2,,0,,,,6,11.4,6.6,,0.6,,2,1096436.1940.6.2,,,0.3,1940,PRINCE GEORGE,,,0.3,1940-06-02 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,19.4,,0,,,,6,13.1,4.9,,6.7,,3,1096436.1940.6.3,,,0,1940,PRINCE GEORGE,,,0,1940-06-03 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,16.7,,0,,,,6,10.9,7.1,,5,,4,1096436.1940.6.4,,,0,1940,PRINCE GEORGE,,,0,1940-06-04 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,18.3,,0,,,,6,12,6,,5.6,,5,1096436.1940.6.5,,,0,1940,PRINCE GEORGE,,,0,1940-06-05 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,16.7,,0,,,,6,7.5,10.5,,-1.7,,6,1096436.1940.6.6,,,0,1940,PRINCE GEORGE,,,0,1940-06-06 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.7,,0,,,,6,11.7,6.3,,1.7,,7,1096436.1940.6.7,,,1.3,1940,PRINCE GEORGE,,,1.3,1940-06-07 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,23.3,,0,,,,6,12,6,,0.6,,8,1096436.1940.6.8,,,0.3,1940,PRINCE GEORGE,,,0.3,1940-06-08 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,22.2,,0,,,,6,16.1,1.9,,10,,9,1096436.1940.6.9,,,5.3,1940,PRINCE GEORGE,,,5.3,1940-06-09 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,20,,0,,,,6,15,3,,10,,10,1096436.1940.6.10,,,6.4,1940,PRINCE GEORGE,,,6.4,1940-06-10 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.7,,0,,,,6,15.3,2.7,,8.9,,11,1096436.1940.6.11,,,0.8,1940,PRINCE GEORGE,,,0.8,1940-06-11 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,23.9,,0,,,,6,15.6,2.4,,7.2,,12,1096436.1940.6.12,,,0.5,1940,PRINCE GEORGE,,,0.5,1940-06-12 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,17.8,,0,,,,6,12.8,5.2,,7.8,,13,1096436.1940.6.13,,,5.1,1940,PRINCE GEORGE,,,5.1,1940-06-13 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.7,,0,,,,6,12.5,5.5,,3.3,,14,1096436.1940.6.14,,,0,1940,PRINCE GEORGE,,,0,1940-06-14 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,16.7,,0,,,,6,12.3,5.7,,7.8,,15,1096436.1940.6.15,,,2,1940,PRINCE GEORGE,,,2,1940-06-15 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,16.1,,0,,,,6,9.5,8.5,,2.8,,16,1096436.1940.6.16,,,0,1940,PRINCE GEORGE,,,0,1940-06-16 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,22.8,,0,,,,6,10.9,7.1,,-1.1,,17,1096436.1940.6.17,,,0,1940,PRINCE GEORGE,,,0,1940-06-17 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,25.6,,0,,,,6,15.6,2.4,,5.6,,18,1096436.1940.6.18,,,0,1940,PRINCE GEORGE,,,0,1940-06-18 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,28.3,,0.1,,,,6,18.1,0,,7.8,,19,1096436.1940.6.19,,,1,1940,PRINCE GEORGE,,,1,1940-06-19 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,17.2,,0,,,,6,10.8,7.2,,4.4,,20,1096436.1940.6.20,,,1.3,1940,PRINCE GEORGE,,,1.3,1940-06-20 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,16.7,,0,,,,6,11.2,6.8,,5.6,,21,1096436.1940.6.21,,,0.5,1940,PRINCE GEORGE,,,0.5,1940-06-21 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,24.4,,0,,,,6,14.2,3.8,,3.9,,22,1096436.1940.6.22,,,0,1940,PRINCE GEORGE,,,0,1940-06-22 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,22.2,,0,,,,6,15.3,2.7,,8.3,,23,1096436.1940.6.23,,,8.6,1940,PRINCE GEORGE,,,8.6,1940-06-23 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,22.8,,0,,,,6,15.3,2.7,,7.8,,24,1096436.1940.6.24,,,2.5,1940,PRINCE GEORGE,,,2.5,1940-06-24 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.7,,0,,,,6,15,3,,8.3,,25,1096436.1940.6.25,,,0,1940,PRINCE GEORGE,,,0,1940-06-25 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,17.8,,0,,,,6,13.1,4.9,,8.3,,26,1096436.1940.6.26,,,5.3,1940,PRINCE GEORGE,,,5.3,1940-06-26 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,20,,0,,,,6,12.2,5.8,,4.4,,27,1096436.1940.6.27,,,0,1940,PRINCE GEORGE,,,0,1940-06-27 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.1,,0,,,,6,11.7,6.3,,2.2,,28,1096436.1940.6.28,,,0.3,1940,PRINCE GEORGE,,,0.3,1940-06-28 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,22.2,,0,,,,6,13.3,4.7,,4.4,,29,1096436.1940.6.29,,,0,1940,PRINCE GEORGE,,,0,1940-06-29 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,24.4,,0,,,,6,14.4,3.6,,4.4,,30,1096436.1940.6.30,,,0,1940,PRINCE GEORGE,,,0,1940-06-30 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,27.2,,0.6,,,,7,18.6,0,,10,,1,1096436.1940.7.1,,,0,1940,PRINCE GEORGE,,,0,1940-07-01 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,23.9,,0,,,,7,17.5,0.5,,11.1,,2,1096436.1940.7.2,,,0,1940,PRINCE GEORGE,,,0,1940-07-02 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.7,,0,,,,7,12.8,5.2,,3.9,,3,1096436.1940.7.3,,,0,1940,PRINCE GEORGE,,,0,1940-07-03 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,17.2,,0,,,,7,10.6,7.4,,3.9,,4,1096436.1940.7.4,,,0,1940,PRINCE GEORGE,,,0,1940-07-04 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,24.4,,0,,,,7,13.1,4.9,,1.7,,5,1096436.1940.7.5,,,0,1940,PRINCE GEORGE,,,0,1940-07-05 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,27.2,,0,,,,7,15.6,2.4,,3.9,,6,1096436.1940.7.6,,,0,1940,PRINCE GEORGE,,,0,1940-07-06 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,24.4,,0,,,,7,16.4,1.6,,8.3,,7,1096436.1940.7.7,,,8.6,1940,PRINCE GEORGE,,,8.6,1940-07-07 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,25.6,,0,,,,7,15.9,2.1,,6.1,,8,1096436.1940.7.8,,,0.3,1940,PRINCE GEORGE,,,0.3,1940-07-08 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.7,,0,,,,7,16.7,1.3,,11.7,,9,1096436.1940.7.9,,,2,1940,PRINCE GEORGE,,,2,1940-07-09 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.1,,0,,,,7,13.4,4.6,,5.6,,10,1096436.1940.7.10,,,1.5,1940,PRINCE GEORGE,,,1.5,1940-07-10 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,26.7,,0.1,,,,7,18.1,0,,9.4,,11,1096436.1940.7.11,,,0,1940,PRINCE GEORGE,,,0,1940-07-11 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,28.9,,1.5,,,,7,19.5,0,,10,,12,1096436.1940.7.12,,,24.1,1940,PRINCE GEORGE,,,24.1,1940-07-12 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,17.2,,0,,,,7,15.6,2.4,,13.9,,13,1096436.1940.7.13,,,26.4,1940,PRINCE GEORGE,,,26.4,1940-07-13 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,20.6,,0,,,,7,16.4,1.6,,12.2,,14,1096436.1940.7.14,,,10.2,1940,PRINCE GEORGE,,,10.2,1940-07-14 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,27.2,,1.5,,,,7,19.5,0,,11.7,,15,1096436.1940.7.15,,,2.5,1940,PRINCE GEORGE,,,2.5,1940-07-15 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,25.6,,0.4,,,,7,18.4,0,,11.1,,16,1096436.1940.7.16,,,0,1940,PRINCE GEORGE,,,0,1940-07-16 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.1,,0,,,,7,15.6,2.4,,10,,17,1096436.1940.7.17,,,4.6,1940,PRINCE GEORGE,,,4.6,1940-07-17 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,26.1,,0,,,,7,16.7,1.3,,7.2,,18,1096436.1940.7.18,,,1,1940,PRINCE GEORGE,,,1,1940-07-18 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,25.6,,0.1,,,,7,18.1,0,,10.6,,19,1096436.1940.7.19,,,0,1940,PRINCE GEORGE,,,0,1940-07-19 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,25.6,,0,,,,7,17.5,0.5,,9.4,,20,1096436.1940.7.20,,,0,1940,PRINCE GEORGE,,,0,1940-07-20 0:00,BC,,,,,,,0,
