x,y,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,HEATING_DEGREE_DAYS,LOCAL_DAY,TOTAL_PRECIPITATION,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,ID,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW,STATION_NAME,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,PROVINCE_CODE,LOCAL_DATE,LOCAL_YEAR,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST
-122.67888888888889,53.89083333333333,,6.1,2.1,10,2,8,,,1096450.1942.8.10,,1096450,0,PRINCE GEORGE A,,,,15.9,,,25.6,,,,BC,1942-08-10 00:00:00,1942,,,,2,0,,,
-122.67888888888889,53.89083333333333,,10,0,11,0,8,,,1096450.1942.8.11,,1096450,0,PRINCE GEORGE A,,,,18.1,,,26.1,,,,BC,1942-08-11 00:00:00,1942,,,,0,0.1,,,
-122.67888888888889,53.89083333333333,,7.2,3.8,12,0,8,,,1096450.1942.8.12,,1096450,0,PRINCE GEORGE A,,,,14.2,,,21.1,,,,BC,1942-08-12 00:00:00,1942,,,,0,0,,,
-122.67888888888889,53.89083333333333,,4.4,3,13,0,8,,,1096450.1942.8.13,,1096450,0,PRINCE GEORGE A,,,,15,,,25.6,,,,BC,1942-08-13 00:00:00,1942,,,,0,0,,,
-122.67888888888889,53.89083333333333,,2.2,3.3,14,0,8,,,1096450.1942.8.14,,1096450,0,PRINCE GEORGE A,,,,14.7,,,27.2,,,,BC,1942-08-14 00:00:00,1942,,,,0,0,,,
-122.67888888888889,53.89083333333333,,2.2,1.3,15,0,8,,,1096450.1942.8.15,,1096450,0,PRINCE GEORGE A,,,,16.7,,,31.1,,,,BC,1942-08-15 00:00:00,1942,,,,0,0,,,
-122.67888888888889,53.89083333333333,,7.8,0,16,0,8,,,1096450.1942.8.16,,1096450,0,PRINCE GEORGE A,,,,20.3,,,32.8,,,,BC,1942-08-16 00:00:00,1942,,,,0,2.3,,,
-122.67888888888889,53.89083333333333,,10.6,0,17,0,8,,,1096450.1942.8.17,,1096450,0,PRINCE GEORGE A,,,,19.2,,,27.8,,,,BC,1942-08-17 00:00:00,1942,,,,0,1.2,,,
-122.67888888888889,53.89083333333333,,9.4,0.5,18,0,8,,,1096450.1942.8.18,,1096450,0,PRINCE GEORGE A,,,,17.5,,,25.6,,,,BC,1942-08-18 00:00:00,1942,,,,0,0,,,
-122.67888888888889,53.89083333333333,,8.3,3.8,19,10.2,8,,,1096450.1942.8.19,,1096450,0,PRINCE GEORGE A,,,,14.2,,,20,,,,BC,1942-08-19 00:00:00,1942,,,,10.2,0,,,
