x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW,MAX_TEMPERATURE,MEAN_TEMPERATURE,SNOW_ON_GROUND,MIN_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,TOTAL_RAIN,LOCAL_MONTH,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,PROVINCE_CODE,MIN_TEMPERATURE,LOCAL_DAY,ID,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG
-122.59694444444445,58.83638888888889,,34.7,,1192946,2,-13.4,-16.7,49,62,2020-03-30 00:00:00,FORT NELSON A,,,,,83,1,3,,M,2020,BC,-19.9,30,1192946.2020.3.30,,,2,0,,M,,,
-122.59694444444445,58.83638888888889,,31.6,,1192946,1,-8.3,-13.6,52,45,2020-03-31 00:00:00,FORT NELSON A,,,,,81,0,3,,M,2020,BC,-18.8,31,1192946.2020.3.31,,,1,0,,M,,,
-122.59694444444445,58.83638888888889,,34.9,,1192946,0,-8.1,-16.9,52,38,2020-04-01 00:00:00,FORT NELSON A,,,,,85,0,4,,M,2020,BC,-25.6,1,1192946.2020.4.1,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,33.2,,1192946,0,-9,-15.2,51,31,2020-04-02 00:00:00,FORT NELSON A,,,,,62,0,4,,M,2020,BC,-21.4,2,1192946.2020.4.2,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,31.2,,1192946,0,-3.5,-13.2,51,31,2020-04-03 00:00:00,FORT NELSON A,,,,,77,0,4,,M,2020,BC,-22.8,3,1192946.2020.4.3,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,26.9,,1192946,0,-1.3,-8.9,49,40,2020-04-04 00:00:00,FORT NELSON A,,,T,,81,0,4,,M,2020,BC,-16.4,4,1192946.2020.4.4,,,0,0,,M,T,,
-122.59694444444445,58.83638888888889,,23.5,,1192946,0,1.6,-5.5,49,33,2020-04-05 00:00:00,FORT NELSON A,,,,,83,0,4,,M,2020,BC,-12.5,5,1192946.2020.4.5,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,21,,1192946,0,5.2,-3,49,34,2020-04-06 00:00:00,FORT NELSON A,,,,,78,0,4,35,,2020,BC,-11.1,6,1192946.2020.4.6,32,,0,0,,,,,
-122.59694444444445,58.83638888888889,,18.4,,1192946,0,3.8,-0.4,45,33,2020-04-07 00:00:00,FORT NELSON A,,,T,,84,0,4,48,,2020,BC,-4.5,7,1192946.2020.4.7,27,,0,0,,,T,,
-122.59694444444445,58.83638888888889,,18.4,,1192946,0,6.4,-0.4,40,24,2020-04-08 00:00:00,FORT NELSON A,,,,,52,0,4,46,,2020,BC,-7.2,8,1192946.2020.4.8,10,,0,0,,,,,
-122.59694444444445,58.83638888888889,,15,,1192946,0,8.2,3,40,24,2020-04-09 00:00:00,FORT NELSON A,,,,,82,0,4,59,,2020,BC,-2.3,9,1192946.2020.4.9,27,,0,0,,,,,
-122.59694444444445,58.83638888888889,,21,,1192946,0,0.8,-3,44,31,2020-04-10 00:00:00,FORT NELSON A,,,T,,83,0,4,41,,2020,BC,-6.7,10,1192946.2020.4.10,32,,0,0,,,T,,
-122.59694444444445,58.83638888888889,,20.8,,1192946,0,3.9,-2.8,44,25,2020-04-11 00:00:00,FORT NELSON A,,,,,72,0,4,,M,2020,BC,-9.5,11,1192946.2020.4.11,2,,0,0,,,,,
-122.59694444444445,58.83638888888889,,17,,1192946,0,7.9,1,44,23,2020-04-12 00:00:00,FORT NELSON A,,,,,60,0,4,,M,2020,BC,-6,12,1192946.2020.4.12,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,14.1,,1192946,0,12,3.9,40,23,2020-04-13 00:00:00,FORT NELSON A,,,,,67,0,4,46,,2020,BC,-4.3,13,1192946.2020.4.13,29,,0,0,,,,,
-122.59694444444445,58.83638888888889,,14.1,,1192946,0,7.4,3.9,32,56,2020-04-14 00:00:00,FORT NELSON A,,,,,91,1.7,4,35,,2020,BC,0.4,14,1192946.2020.4.14,30,,1.7,0,,,,,
-122.59694444444445,58.83638888888889,,11.1,,1192946,0,13.3,6.9,31,29,2020-04-15 00:00:00,FORT NELSON A,,,,,81,0,4,,M,2020,BC,0.4,15,1192946.2020.4.15,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,9.9,,1192946,0,16.8,8.1,13,28,2020-04-16 00:00:00,FORT NELSON A,,,,,70,0,4,46,,2020,BC,-0.6,16,1192946.2020.4.16,31,,0,0,,,,,
-122.59694444444445,58.83638888888889,,11.9,,1192946,0,10.5,6.1,8,34,2020-04-17 00:00:00,FORT NELSON A,,,,,89,1.7,4,50,,2020,BC,1.6,17,1192946.2020.4.17,1,,1.7,0,,,,,
-122.59694444444445,58.83638888888889,,10.1,,1192946,0,16.5,7.9,,24,2020-04-18 00:00:00,FORT NELSON A,,,,,84,0,4,50,,2020,BC,-0.8,18,1192946.2020.4.18,26,,0,0,,,,,
-122.59694444444445,58.83638888888889,,7,,1192946,0,19.5,11,,29,2020-04-19 00:00:00,FORT NELSON A,,,,,71,0,4,50,,2020,BC,2.5,19,1192946.2020.4.19,28,,0,0,,,,,
-122.59694444444445,58.83638888888889,,7.2,,1192946,0,21.1,10.8,,23,2020-04-20 00:00:00,FORT NELSON A,,,,,75,0,4,,M,2020,BC,0.4,20,1192946.2020.4.20,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,10.8,,1192946,0,14.5,7.2,1,31,2020-04-21 00:00:00,FORT NELSON A,,,,,77,0,4,39,,2020,BC,-0.1,21,1192946.2020.4.21,31,,0,0,,,,,
-122.59694444444445,58.83638888888889,,8.4,,1192946,0,15.6,9.6,,33,2020-04-22 00:00:00,FORT NELSON A,,,,,75,0,4,45,,2020,BC,3.6,22,1192946.2020.4.22,33,,0,0,T,,T,,
-122.59694444444445,58.83638888888889,,11.4,,1192946,0,11,6.6,,46,2020-04-23 00:00:00,FORT NELSON A,,,,,81,0.8,4,58,,2020,BC,2.1,23,1192946.2020.4.23,25,,0.8,0,,,,,
-122.59694444444445,58.83638888888889,,10,,1192946,0,14.4,8,,31,2020-04-24 00:00:00,FORT NELSON A,,,,,94,0,4,41,,2020,BC,1.6,24,1192946.2020.4.24,33,,0,0,T,,T,,
-122.59694444444445,58.83638888888889,,19.5,,1192946,0.6,2.1,-1.5,0,70,2020-04-25 00:00:00,FORT NELSON A,,,,T,89,0,4,37,,2020,BC,-5.1,25,1192946.2020.4.25,32,,0.6,0,,,,,
-122.59694444444445,58.83638888888889,,20.2,,1192946,0,3.2,-2.2,1,51,2020-04-26 00:00:00,FORT NELSON A,,,,,89,0,4,,M,2020,BC,-7.5,26,1192946.2020.4.26,,,0,0,T,M,T,,
-122.59694444444445,58.83638888888889,,11.5,,1192946,0,14.3,6.5,,32,2020-04-27 00:00:00,FORT NELSON A,,,,,79,0,4,,M,2020,BC,-1.4,27,1192946.2020.4.27,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,10.8,,1192946,0,16.3,7.2,,20,2020-04-28 00:00:00,FORT NELSON A,,,,,86,0,4,39,,2020,BC,-2,28,1192946.2020.4.28,22,,0,0,,,,,
-122.59694444444445,58.83638888888889,,6.7,,1192946,0,17.5,11.3,,21,2020-04-29 00:00:00,FORT NELSON A,,,,,52,0,4,35,,2020,BC,5,29,1192946.2020.4.29,22,,0,0,,,,,
-122.59694444444445,58.83638888888889,,7.8,,1192946,0,14.8,10.2,,36,2020-04-30 00:00:00,FORT NELSON A,,,,,72,0,4,35,,2020,BC,5.6,30,1192946.2020.4.30,33,,0,0,,,,,
-122.59694444444445,58.83638888888889,,10.8,,1192946,0,15.3,7.2,,31,2020-05-01 00:00:00,FORT NELSON A,,,,,87,0,5,,M,2020,BC,-0.9,1,1192946.2020.5.1,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,7.5,,1192946,0,19.8,10.5,,28,2020-05-02 00:00:00,FORT NELSON A,,,,,84,0,5,41,,2020,BC,1.1,2,1192946.2020.5.2,9,,0,0,,,,,
-122.59694444444445,58.83638888888889,M,,M,1192946,0,,,,,2020-05-03 00:00:00,FORT NELSON A,M,M,,,,0,5,50,,2020,BC,,3,1192946.2020.5.3,31,M,0,,T,,T,M,M
-122.59694444444445,58.83638888888889,,15.6,,1192946,0,4.3,2.4,,81,2020-05-04 00:00:00,FORT NELSON A,,,,,95,4.6,5,42,,2020,BC,0.4,4,1192946.2020.5.4,32,,4.6,0,,,,,
-122.59694444444445,58.83638888888889,,11.5,,1192946,0,14.3,6.5,,51,2020-05-05 00:00:00,FORT NELSON A,,,,,98,2.1,5,65,,2020,BC,-1.4,5,1192946.2020.5.5,23,,2.1,0,,,,,
