"","year","month","yyyymmdd","mintemp","meantemp","maxtemp","totprec"
"81",1899,5,1899-05-20,6.1,13.1,20,0.5
"82",1899,5,1899-05-21,5,12.8,20.6,0
"83",1899,5,1899-05-22,5,13.4,21.7,0
"84",1899,5,1899-05-23,6.1,16.1,26.1,0
"85",1899,5,1899-05-24,8.9,17.5,26.1,0
"86",1899,5,1899-05-25,11.7,18.7,25.6,2.8
"87",1899,5,1899-05-26,8.9,NA,23.9,0
"88",1899,5,1899-05-27,6.1,14.2,22.2,0.3
"89",1899,5,1899-05-28,1.7,12,22.2,0
"90",1899,5,1899-05-29,4.4,11.7,18.9,0
"91",1899,5,1899-05-30,6.7,12,17.2,4.8
"92",1899,5,1899-05-31,0.6,9.2,17.8,0
"93",1899,6,1899-06-01,8.3,14.2,20,0
"94",1899,6,1899-06-02,6.1,13.4,20.6,3.6
"95",1899,6,1899-06-03,12.2,20.6,28.9,0
"96",1899,6,1899-06-04,5,15,25,0
"97",1899,6,1899-06-05,1.1,9.5,17.8,1.3
"98",1899,6,1899-06-06,8.3,12.5,16.7,0
"99",1899,6,1899-06-07,7.8,14.5,21.1,0.3
"100",1899,6,1899-06-08,6.1,14.2,22.2,0
"101",1899,6,1899-06-09,7.8,16.1,24.4,0
"102",1899,6,1899-06-10,12.2,18.1,23.9,0
"103",1899,6,1899-06-11,11.7,18.4,25,0.5
"104",1899,6,1899-06-12,7.8,12.8,17.8,0
"105",1899,6,1899-06-13,8.9,12.8,16.7,0.8
"106",1899,6,1899-06-14,10,16.4,22.8,6.1
"107",1899,6,1899-06-15,6.7,16.2,25.6,0
"108",1899,6,1899-06-16,10.6,19.8,28.9,0
