"Month","Day","Percentile_90","Station"
"12","09",11.11,"Abbotsford"
"12","10",11.1,"Abbotsford"
"12","11",10.7,"Abbotsford"
"12","12",10.6,"Abbotsford"
"12","13",10.61,"Abbotsford"
"12","14",10.7,"Abbotsford"
"12","15",11.1,"Abbotsford"
"12","16",11.1,"Abbotsford"
"12","17",11.1,"Abbotsford"
"12","18",11.01,"Abbotsford"
"12","19",11.1,"Abbotsford"
"12","20",11.1,"Abbotsford"
"12","21",10.61,"Abbotsford"
"12","22",10.6,"Abbotsford"
"12","23",10.6,"Abbotsford"
"12","24",10.52,"Abbotsford"
"12","25",10.52,"Abbotsford"
"12","26",10.34,"Abbotsford"
"12","27",10.14,"Abbotsford"
"12","28",10.1,"Abbotsford"
"12","29",10,"Abbotsford"
"12","30",10,"Abbotsford"
"12","31",10,"Abbotsford"
