"Year","DayOfYear","Max_Temp_Year","Percentile_90","Station"
2022,"07-17",28.2,33.9,"Kelowna"
2022,"07-18",29.2,33.9,"Kelowna"
2022,"07-19",32.3,33.97,"Kelowna"
2022,"07-20",33.7,34,"Kelowna"
2022,"07-21",34.4,34.2,"Kelowna"
2022,"07-22",32.7,34.2,"Kelowna"
2022,"07-23",32.2,34.2,"Kelowna"
2022,"07-24",33.7,34.3,"Kelowna"
2022,"07-25",32.9,34.3,"Kelowna"
2022,"07-26",33.5,34.3,"Kelowna"
2022,"07-27",36.6,34.2,"Kelowna"
2022,"07-28",38.8,34.1,"Kelowna"
2022,"07-29",34.9,34.1,"Kelowna"
2022,"07-30",36.5,34,"Kelowna"
2022,"07-31",37.9,33.9,"Kelowna"
2022,"08-01",35.1,33.9,"Kelowna"
2022,"08-02",31.2,33.9,"Kelowna"
2022,"08-03",32.3,33.9,"Kelowna"
2022,"08-04",24.5,33.9,"Kelowna"
2022,"08-05",24.2,33.7,"Kelowna"
2022,"08-06",29,33.6,"Kelowna"
2022,"08-07",34.1,33.5,"Kelowna"
2022,"08-08",34.6,33.5,"Kelowna"
2022,"08-09",32,33.5,"Kelowna"
2022,"08-10",32,33.3,"Kelowna"
2022,"08-11",35.3,33.3,"Kelowna"
2022,"08-12",32.7,33.3,"Kelowna"
2022,"08-13",28.3,33.3,"Kelowna"
2022,"08-14",29.8,32.91,"Kelowna"
2022,"08-15",33,32.8,"Kelowna"
2022,"08-16",34.3,32.6,"Kelowna"
2022,"08-17",34.8,32.2,"Kelowna"
2022,"08-18",33.2,32.1,"Kelowna"
2022,"08-19",33.7,31.7,"Kelowna"
2022,"08-20",32.1,31.7,"Kelowna"
2022,"08-21",31.1,31.5,"Kelowna"
2022,"08-22",30.8,31.2,"Kelowna"
2022,"08-23",29.9,31.1,"Kelowna"
2022,"08-24",32.2,31.1,"Kelowna"
2022,"08-25",32.7,30.7,"Kelowna"
2022,"08-26",32.8,30.6,"Kelowna"
2022,"08-27",22.7,30.6,"Kelowna"
2022,"08-28",25.7,30.1,"Kelowna"
2022,"08-29",31,30,"Kelowna"
2022,"08-30",34,29.9,"Kelowna"
2022,"08-31",32,29.5,"Kelowna"
2022,"09-01",34.2,29.4,"Kelowna"
2022,"09-02",33.5,29.4,"Kelowna"
2022,"09-03",32.7,29.4,"Kelowna"
2022,"09-04",27,29.04,"Kelowna"
2022,"09-05",25.8,28.9,"Kelowna"
2022,"09-06",27.8,28.6,"Kelowna"
2022,"09-07",29.6,28.3,"Kelowna"
2022,"09-08",23.4,28.3,"Kelowna"
2022,"09-09",24.1,28.3,"Kelowna"
2022,"09-10",26.4,28,"Kelowna"
2022,"09-11",24.9,27.8,"Kelowna"
2022,"09-12",18.4,27.7,"Kelowna"
2022,"09-13",23.4,27.4,"Kelowna"
2022,"09-14",21.5,27.2,"Kelowna"
2022,"09-15",24.8,26.7,"Kelowna"
2022,"09-16",21.4,26.7,"Kelowna"
2022,"09-17",18.2,26.4,"Kelowna"
2022,"09-18",18.6,26.1,"Kelowna"
2022,"09-19",22.3,25.9,"Kelowna"
2022,"09-20",21.2,25.6,"Kelowna"
2022,"09-21",21.9,25.6,"Kelowna"
2022,"09-22",22.7,25,"Kelowna"
2022,"09-23",20.2,24.87,"Kelowna"
2022,"09-24",23.2,24.4,"Kelowna"
2022,"09-25",24.3,24.4,"Kelowna"
2022,"09-26",24.8,23.9,"Kelowna"
2022,"09-27",26.6,23.9,"Kelowna"
2022,"09-28",25,23.8,"Kelowna"
2022,"09-29",19.8,23.3,"Kelowna"
2022,"09-30",23.7,23.2,"Kelowna"
2022,"10-01",24.7,22.8,"Kelowna"
2022,"10-02",25.2,22.4,"Kelowna"
2022,"10-03",25.3,22.2,"Kelowna"
2022,"10-04",24.3,21.7,"Kelowna"
2022,"10-05",24.6,21.5,"Kelowna"
2022,"10-06",23.3,21.1,"Kelowna"
2022,"10-07",20.9,20.7,"Kelowna"
2022,"10-08",22.2,20.2,"Kelowna"
2022,"10-09",22.4,20,"Kelowna"
2022,"10-10",24.9,19.4,"Kelowna"
2022,"10-11",20.9,19.26,"Kelowna"
2022,"10-12",21,18.9,"Kelowna"
2022,"10-13",19.1,18.9,"Kelowna"
2022,"10-14",19.5,18.3,"Kelowna"
2022,"10-15",19.3,18.06,"Kelowna"
2022,"10-16",20.4,17.6,"Kelowna"
2022,"10-17",18.1,17.2,"Kelowna"
2022,"10-18",18.3,17.2,"Kelowna"
2022,"10-19",NA,16.7,"Kelowna"
2022,"10-20",14.7,16.7,"Kelowna"
2022,"10-21",10.7,16.2,"Kelowna"
2022,"10-22",10.7,16.1,"Kelowna"
2022,"10-23",12,15.6,"Kelowna"
2022,"10-24",12.4,15.6,"Kelowna"
2022,"10-25",12.5,15.5,"Kelowna"
2022,"10-26",11.5,15,"Kelowna"
2022,"10-27",14.5,15,"Kelowna"
2022,"10-28",14.8,14.7,"Kelowna"
2022,"10-29",13.4,14.4,"Kelowna"
2022,"10-30",13.2,14.1,"Kelowna"
2022,"10-31",14.8,13.9,"Kelowna"
2022,"11-01",8.4,13.4,"Kelowna"
2022,"11-02",6.1,13.3,"Kelowna"
2022,"11-03",2.5,12.8,"Kelowna"
2022,"11-04",2.8,12.8,"Kelowna"
2022,"11-05",6,12.69,"Kelowna"
2022,"11-06",1.9,12.2,"Kelowna"
2022,"11-07",1.4,12.2,"Kelowna"
2022,"11-08",-4.4,11.9,"Kelowna"
2022,"11-09",-5.3,11.7,"Kelowna"
2022,"11-10",-4.3,11.5,"Kelowna"
2022,"11-11",-2,11.1,"Kelowna"
2022,"11-12",-0.1,11,"Kelowna"
2022,"11-13",1.1,10.6,"Kelowna"
2022,"11-14",-0.2,10.6,"Kelowna"
2022,"11-15",1.2,10.6,"Kelowna"
2022,"11-16",0.8,10.4,"Kelowna"
2022,"11-17",0.5,10.24,"Kelowna"
2022,"11-18",-1.9,10,"Kelowna"
2022,"11-19",-1.4,10,"Kelowna"
2022,"11-20",-0.9,10,"Kelowna"
2022,"11-21",1.5,9.6,"Kelowna"
2022,"11-22",1.7,9.4,"Kelowna"
2022,"11-23",1.5,9.4,"Kelowna"
2022,"11-24",5.1,9.4,"Kelowna"
