"Year","DayOfYear","variable","value","Temp_Diff","Percentile_90","Temp_Higher","streak","Heatwave","daily_max_temp","station"
1940,"05-26","Temp_Diff",-7.55748258697257,-7.55748258697257,20.2394422447917,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"05-27","Temp_Diff",-5.19355474375446,-5.19355474375446,20.3855506664015,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"05-28","Temp_Diff",-2.5506523449571,-2.5506523449571,20.600095460836,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"05-29","Temp_Diff",-0.0492499298719444,-0.0492499298719444,20.7219686565952,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"05-30","Temp_Diff",-1.72418483824768,-1.72418483824768,20.7897049121334,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"05-31","Temp_Diff",-4.48366699591298,-4.48366699591298,20.8831389885839,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-01","Temp_Diff",-3.46200658394734,-3.46200658394734,20.914173692712,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-02","Temp_Diff",-5.55887058154387,-5.55887058154387,20.9299569916409,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-03","Temp_Diff",-5.98721397588152,-5.98721397588152,20.9961191080943,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-04","Temp_Diff",-7.05758949093401,-7.05758949093401,21.0131840758247,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-05","Temp_Diff",-5.4027358324003,-5.4027358324003,20.9889154568059,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-06","Temp_Diff",-4.79192033826233,-4.79192033826233,20.9889154568059,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-07","Temp_Diff",-3.89519612405441,-3.89519612405441,21.0131840758247,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-08","Temp_Diff",-4.78338788699492,-4.78338788699492,20.9843833085228,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-09","Temp_Diff",-0.73853495798101,-0.73853495798101,20.9681432002919,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"06-10","Temp_Diff",1.54474663193008,1.54474663193008,21.0050373412626,"Not Higher",2,"Not Higher",NA,"YVR_era5"
1940,"06-11","Temp_Diff",2.28721851572809,2.28721851572809,21.1050908090765,"Not Higher",2,"Not Higher",NA,"YVR_era5"
1940,"06-12","Temp_Diff",-0.468828866888284,-0.468828866888284,21.1227769411469,"Not Higher",6,"Not Higher",NA,"YVR_era5"
1940,"06-13","Temp_Diff",-4.29031483601296,-4.29031483601296,21.1082800639623,"Not Higher",6,"Not Higher",NA,"YVR_era5"
1940,"06-14","Temp_Diff",-3.7806066822071,-3.7806066822071,21.2047716700818,"Not Higher",6,"Not Higher",NA,"YVR_era5"
1940,"06-15","Temp_Diff",-2.5354611927537,-2.5354611927537,21.228029942259,"Not Higher",6,"Not Higher",NA,"YVR_era5"
1940,"06-16","Temp_Diff",-3.74091188954301,-3.74091188954301,21.3155498127494,"Not Higher",6,"Not Higher",NA,"YVR_era5"
1940,"06-17","Temp_Diff",-0.452588108564477,-0.452588108564477,21.5327223084559,"Not Higher",6,"Not Higher",NA,"YVR_era5"
1940,"06-18","Temp_Diff",0.0643917692678357,0.0643917692678357,21.7570293451719,"Not Higher",1,"Not Higher",NA,"YVR_era5"
1940,"06-19","Temp_Diff",-0.142873214282286,-0.142873214282286,21.8224374305872,"Not Higher",5,"Not Higher",NA,"YVR_era5"
1940,"06-20","Temp_Diff",-6.38072287895803,-6.38072287895803,21.979826559159,"Not Higher",5,"Not Higher",NA,"YVR_era5"
1940,"06-21","Temp_Diff",-5.59955001574229,-5.59955001574229,22.193498276572,"Not Higher",5,"Not Higher",NA,"YVR_era5"
1940,"06-22","Temp_Diff",-3.32201182760805,-3.32201182760805,22.4364586841476,"Not Higher",5,"Not Higher",NA,"YVR_era5"
1940,"06-23","Temp_Diff",-1.26557555158582,-1.26557555158582,22.6312698414319,"Not Higher",5,"Not Higher",NA,"YVR_era5"
1940,"06-24","Temp_Diff",0.558027447168786,0.558027447168786,22.7238119721469,"Not Higher",1,"Not Higher",NA,"YVR_era5"
1940,"06-25","Temp_Diff",-3.06929001746972,-3.06929001746972,22.6736201317764,"Not Higher",16,"Not Higher",NA,"YVR_era5"
1940,"06-26","Temp_Diff",-7.61760329868399,-7.61760329868399,22.8259081488823,"Not Higher",16,"Not Higher",NA,"YVR_era5"
1940,"06-27","Temp_Diff",-6.24589322669794,-6.24589322669794,22.9438493651189,"Not Higher",16,"Not Higher",NA,"YVR_era5"
1940,"06-28","Temp_Diff",-2.64745689313968,-2.64745689313968,23.1484703071532,"Not Higher",16,"Not Higher",NA,"YVR_era5"
1940,"06-29","Temp_Diff",-0.936909957787286,-0.936909957787286,23.1623616736392,"Not Higher",16,"Not Higher",NA,"YVR_era5"
