"begin","end","starttemp","endtemp","avgexc","year","month"
1985-12-18,1985-12-26,-3.5,5.5,7.896,1985,12
1986-01-07,1986-01-09,-4.8,-4.7,1.86,1986,1
1986-02-26,1986-02-28,8.5,12,5.113,1986,2
1986-07-19,1986-07-21,30.4,29,1.29,1986,7
1986-08-09,1986-08-11,29.8,29.4,1.8,1986,8
1986-12-15,1986-12-17,4.8,-1.3,8.59,1986,12
1987-01-08,1987-01-12,-4,-4.5,6.856,1987,1
1987-01-17,1987-01-20,-2.1,4.5,5.045,1987,1
1987-09-09,1987-09-11,23.2,26.7,4.027,1987,9
1987-12-23,1987-12-25,-3,-4.2,2.397,1987,12
1988-02-18,1988-02-21,7.7,4.9,2.49,1988,2
1988-02-25,1988-02-27,8.3,7.8,1.59,1988,2
1988-03-08,1988-03-13,9.5,8.4,0.91,1988,3
1988-09-03,1988-09-05,24.2,22.7,1.193,1988,9
1988-10-04,1988-10-06,22.2,19,2.653,1988,10
1988-10-08,1988-10-10,22.4,17.4,2.867,1988,10
1989-02-09,1989-02-12,2.5,1.9,4.965,1989,2
1989-04-25,1989-04-29,18.2,22.3,1.856,1989,4
1989-06-10,1989-06-13,27.3,29.9,3.322,1989,6
1989-07-12,1989-07-14,29.1,31,2.797,1989,7
1989-08-11,1989-08-14,29.8,29.5,2.517,1989,8
1989-12-11,1989-12-15,6.2,-5.3,6.442,1989,12
1990-03-03,1990-03-05,9.2,9.4,3.13,1990,3
1990-03-27,1990-03-29,12.2,13.5,2.52,1990,3
1990-04-16,1990-04-20,17.4,18.1,2.136,1990,4
1990-08-19,1990-08-21,30.3,28.7,2.667,1990,8
1990-09-21,1990-09-24,24.9,23.2,3.52,1990,9
1991-01-25,1991-01-27,1.5,-2.4,3.117,1991,1
1991-02-05,1991-02-07,1,5.4,6.193,1991,2
1991-04-15,1991-04-19,14.9,18.5,2.538,1991,4
1991-04-21,1991-04-23,18.9,18.9,2.26,1991,4
1991-07-23,1991-07-25,30.7,29,2.26,1991,7
1991-08-12,1991-08-17,29.6,31.8,3.505,1991,8
1992-02-25,1992-02-29,7.3,8.2,2.762,1992,2
1992-03-10,1992-03-14,11.5,10.6,2.332,1992,3
1992-06-13,1992-06-15,27.2,28.3,1.26,1992,6
1992-11-29,1992-12-05,0.9,1.5,3.712,1992,11
1993-01-29,1993-02-02,4.5,-1.4,7.416,1993,1
1993-02-26,1993-02-28,6.2,12.5,3.147,1993,2
1993-04-13,1993-04-17,14.8,16.3,0.82,1993,4
1993-04-19,1993-04-21,16.4,20.5,2.53,1993,4
1993-08-03,1993-08-05,30.2,30.3,1.3,1993,8
1993-11-12,1993-11-15,3.7,0.6,2.977,1993,11
