"yrmon","max_3day","max_5day"
197808,33.8,47.2
197809,38.4,39.2
197810,15.8,47.9
197811,47.9,60.8
197812,30.2,36.9
197901,23.6,25.2
197902,62.7,71.5
197903,41.9,45
197904,22.8,29.2
197905,28.4,31.3
197906,12.7,15.5
197907,17.4,20.6
197908,14.2,32.6
197909,25.6,39.2
197910,30.4,40.8
197911,27.5,49.1
197912,113.6,159.8
198001,67.6,78.5
198002,64.5,71.9
198003,44.4,49.5
198004,25.3,35.1
198005,23.8,25.6
198006,29.6,40.4
198007,33.3,34.5
198008,45.8,52.8
198009,45.7,45.7
198010,30.9,69.9
198011,61.7,113.1
198012,72.2,84.7
198101,21.6,31.2
198102,54.5,79.3
198103,53.9,64
198104,39.9,44.1
198105,30.8,40.8
198106,29.2,38.4
198107,23.2,23.2
198108,24.6,28.2
198109,51,71.1
198110,82.2,99.2
198111,57,71
198112,36,46.2
198201,67.4,91.4
198202,98.4,119.8
198203,31.2,45.1
198204,36.1,39
198205,11.8,17.6
198206,24.4,27.8
198207,37.6,37.6
198208,15.6,22.8
198209,19.3,22.3
198210,25.8,41.4
198211,49.2,72.5
198212,49.5,51.7
198301,44.7,65.1
198302,70.7,96.9
198303,47.7,76.2
198304,56.1,56.1
198305,29.4,30.4
198306,29,33.5
198307,45.5,56.6
198308,41.8,55.6
198309,39.6,39.6
198310,35,70.4
198311,92.1,123.2
198312,37.6,101.6
198401,93.2,100
198402,51.4,58.6
198403,43.4,47.4
198404,62,64.4
198405,28.3,34.7
198406,40,46
198407,3.9,3.9
198408,7.4,8.4
198409,30.9,31.5
198410,56.3,74.2
198411,67.6,80.5
198412,55.4,80.7
198501,20,20.4
198502,32.6,32.6
198503,40.4,45
198504,38,45
198505,20.4,20.4
198506,15.6,22.8
198507,7.4,7.4
198508,16.3,16.3
198509,31.6,33.8
198510,52.4,69.6
198511,42.3,53.3
198512,29.8,35.4
198601,66.7,87.3
198602,71.1,71.7
198603,43.2,55.3
198604,33.6,41.8
198605,42,54.8
198606,22.2,23.4
198607,22.6,22.6
198608,0,0
198609,48.4,48.4
198610,42,46.4
198611,64.8,103.8
198612,65,84.2
198701,44.9,53.4
198702,41.6,76.8
198703,73.4,87.2
198704,30.6,37
198705,38.8,44.4
