"diffw90","year","month","yrmon"
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,10,193810
0,1938,10,193810
0.6,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0.5,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0.8,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0.6,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,10,193810
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0,1938,11,193811
0.5,1938,11,193811
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
1.1,1938,12,193812
0.5,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0.5,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0,1938,12,193812
0.6,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0.29,1939,1,193901
0,1939,1,193901
0,1939,1,193901
0,1939,1,193901
