"avgexc","nexc","year","month"
0.49,1,1983,12
1.992,5,1984,1
0.75,2,1984,2
1.957,3,1984,3
1.89,2,1984,4
0.995,2,1984,5
0.9,2,1984,6
0.642,4,1984,7
1.37,1,1984,8
1.163,3,1984,9
0,0,1984,10
0,0,1984,11
0,0,1984,12
0,0,1985,1
0,0,1985,2
0,0,1985,3
1.55,2,1985,4
1.725,4,1985,5
1,1,1985,6
1.953,14,1985,7
2.17,1,1985,8
0,0,1985,9
0,0,1985,10
0,0,1985,11
0,0,1985,12
1.604,9,1986,1
2.555,6,1986,2
1.695,6,1986,3
2,1,1986,4
0.93,3,1986,5
1.6,2,1986,6
0.09,1,1986,7
1.372,4,1986,8
2.395,2,1986,9
1.7,5,1986,10
2.8,1,1986,11
0.7,3,1986,12
1.427,3,1987,1
1.54,7,1987,2
0.813,6,1987,3
5.73,3,1987,4
1.567,4,1987,5
2.18,5,1987,6
0.5,1,1987,7
1.95,6,1987,8
1.733,6,1987,9
0.828,6,1987,10
0.789,10,1987,11
1.285,2,1987,12
1.795,2,1988,1
0.987,3,1988,2
0.3,2,1988,3
1.027,3,1988,4
2.45,2,1988,5
2.1,3,1988,6
2.867,4,1988,7
2.645,2,1988,8
2.43,6,1988,9
1.895,2,1988,10
0.2,1,1988,11
1.347,4,1988,12
1.05,2,1989,1
0,0,1989,2
0.4,1,1989,3
1.949,8,1989,4
1.441,8,1989,5
2.217,6,1989,6
0,0,1989,7
0,0,1989,8
1.396,5,1989,9
1.2,2,1989,10
1.095,2,1989,11
0.832,5,1989,12
0.893,3,1990,1
0,0,1990,2
0.898,5,1990,3
2.17,4,1990,4
1.92,3,1990,5
0.633,3,1990,6
1.98,6,1990,7
2.075,8,1990,8
1.067,4,1990,9
1.5,2,1990,10
1,7,1990,11
0,0,1990,12
1.3,1,1991,1
1.124,7,1991,2
0,0,1991,3
0.398,5,1991,4
1.4,1,1991,5
0.85,2,1991,6
1.94,2,1991,7
0.09,1,1991,8
1.133,3,1991,9
3.193,3,1991,10
2.45,2,1991,11
0.641,7,1991,12
1.216,10,1992,1
1.217,8,1992,2
1.052,9,1992,3
2.16,8,1992,4
2.794,5,1992,5
1.767,6,1992,6
2.295,2,1992,7
0.4,1,1992,8
4.2,1,1992,9
0.954,5,1992,10
0,0,1992,11
0,0,1992,12
1,1,1993,1
2.195,4,1993,2
2.5,2,1993,3
2.745,2,1993,4
2.219,8,1993,5
0,0,1993,6
0,0,1993,7
3.04,2,1993,8
